 time     v(/out) 
 8.2e-09  3.2e-02 
 8.2e-09  3.2e-02 
 8.2e-09  3.2e-02 
 8.2e-09  3.2e-02 
 8.2e-09  3.2e-02 
 8.2e-09  3.2e-02 
 8.2e-09  3.2e-02 
 8.2e-09  3.2e-02 
 8.2e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.3e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.4e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.5e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.6e-09  3.2e-02 
 8.7e-09  3.2e-02 
 8.7e-09  3.2e-02 
 8.7e-09  3.2e-02 
 8.7e-09  3.2e-02 
 8.7e-09  3.2e-02 
