 time       v(/in)     v(/out)   
 4.830e-04  5.331e-01  3.628e+00 
 4.840e-04  5.018e-01  3.627e+00 
 4.850e-04  4.705e-01  3.627e+00 
 4.860e-04  4.393e-01  3.627e+00 
 4.870e-04  4.080e-01  3.627e+00 
 4.880e-04  3.766e-01  3.627e+00 
 4.890e-04  3.453e-01  3.627e+00 
 4.900e-04  3.140e-01  3.627e+00 
 4.910e-04  2.826e-01  3.627e+00 
 4.920e-04  2.512e-01  3.627e+00 
 4.930e-04  2.198e-01  3.627e+00 
 4.940e-04  1.885e-01  3.627e+00 
 4.950e-04  1.571e-01  3.627e+00 
 4.960e-04  1.256e-01  3.627e+00 
 4.970e-04  9.424e-02  3.627e+00 
 4.980e-04  6.283e-02  3.627e+00 
 4.990e-04  3.142e-02  3.627e+00 
 5.000e-04 -1.834e-08  3.627e+00 
 5.010e-04 -3.142e-02  3.627e+00 
 5.020e-04 -6.283e-02  3.627e+00 
 5.030e-04 -9.424e-02  3.627e+00 
 5.040e-04 -1.256e-01  3.627e+00 
 5.050e-04 -1.571e-01  3.627e+00 
 5.060e-04 -1.885e-01  3.627e+00 
 5.070e-04 -2.198e-01  3.627e+00 
 5.080e-04 -2.512e-01  3.627e+00 
 5.090e-04 -2.826e-01  3.627e+00 
 5.100e-04 -3.140e-01  3.627e+00 
 5.110e-04 -3.453e-01  3.626e+00 
 5.120e-04 -3.766e-01  3.626e+00 
 5.130e-04 -4.080e-01  3.626e+00 
 5.140e-04 -4.393e-01  3.626e+00 
 5.150e-04 -4.705e-01  3.626e+00 
 5.160e-04 -5.018e-01  3.626e+00 
 5.170e-04 -5.331e-01  3.626e+00 
 5.180e-04 -5.643e-01  3.626e+00 
 5.190e-04 -5.955e-01  3.626e+00 
 5.200e-04 -6.267e-01  3.626e+00 
 5.210e-04 -6.578e-01  3.626e+00 
 5.220e-04 -6.889e-01  3.626e+00 
 5.230e-04 -7.201e-01  3.626e+00 
 5.240e-04 -7.511e-01  3.626e+00 
 5.250e-04 -7.822e-01  3.626e+00 
 5.260e-04 -8.132e-01  3.626e+00 
 5.270e-04 -8.442e-01  3.626e+00 
 5.280e-04 -8.751e-01  3.626e+00 
 5.290e-04 -9.060e-01  3.626e+00 
 5.300e-04 -9.369e-01  3.626e+00 
 5.310e-04 -9.677e-01  3.626e+00 
 5.320e-04 -9.985e-01  3.626e+00 
 5.330e-04 -1.029e+00  3.626e+00 
 5.340e-04 -1.060e+00  3.626e+00 
 5.350e-04 -1.091e+00  3.626e+00 
 5.360e-04 -1.121e+00  3.626e+00 
 5.370e-04 -1.152e+00  3.626e+00 
 5.380e-04 -1.182e+00  3.626e+00 
 5.390e-04 -1.213e+00  3.625e+00 
 5.400e-04 -1.243e+00  3.625e+00 
 5.410e-04 -1.274e+00  3.625e+00 
 5.420e-04 -1.304e+00  3.625e+00 
 5.430e-04 -1.335e+00  3.625e+00 
 5.440e-04 -1.365e+00  3.625e+00 
 5.450e-04 -1.395e+00  3.625e+00 
 5.460e-04 -1.425e+00  3.625e+00 
 5.470e-04 -1.455e+00  3.625e+00 
