 time       v(/signal_in) v(/rect_out)
 4.210e-04 -7.144e-01 -4.446e-09 
 4.220e-04 -7.061e-01 -4.453e-09 
 4.230e-04 -6.977e-01 -4.459e-09 
 4.240e-04 -6.894e-01 -4.466e-09 
 4.250e-04 -6.810e-01 -4.473e-09 
 4.260e-04 -6.726e-01 -4.479e-09 
 4.270e-04 -6.641e-01 -4.485e-09 
 4.280e-04 -6.557e-01 -4.492e-09 
 4.290e-04 -6.472e-01 -4.498e-09 
 4.300e-04 -6.387e-01 -4.504e-09 
 4.310e-04 -6.301e-01 -4.510e-09 
 4.320e-04 -6.216e-01 -4.516e-09 
 4.330e-04 -6.130e-01 -4.522e-09 
 4.340e-04 -6.044e-01 -4.527e-09 
 4.350e-04 -5.957e-01 -4.533e-09 
 4.360e-04 -5.871e-01 -4.538e-09 
 4.370e-04 -5.784e-01 -4.544e-09 
 4.380e-04 -5.697e-01 -4.549e-09 
 4.390e-04 -5.609e-01 -4.555e-09 
 4.400e-04 -5.522e-01 -4.560e-09 
 4.410e-04 -5.434e-01 -4.565e-09 
 4.420e-04 -5.346e-01 -4.570e-09 
 4.430e-04 -5.258e-01 -4.575e-09 
 4.440e-04 -5.170e-01 -4.580e-09 
 4.450e-04 -5.081e-01 -4.585e-09 
 4.460e-04 -4.992e-01 -4.589e-09 
 4.470e-04 -4.903e-01 -4.594e-09 
 4.480e-04 -4.814e-01 -4.598e-09 
 4.490e-04 -4.725e-01 -4.603e-09 
 4.500e-04 -4.635e-01 -4.607e-09 
 4.510e-04 -4.546e-01 -4.611e-09 
 4.520e-04 -4.456e-01 -4.615e-09 
 4.530e-04 -4.366e-01 -4.619e-09 
 4.540e-04 -4.275e-01 -4.623e-09 
 4.550e-04 -4.185e-01 -4.627e-09 
 4.560e-04 -4.094e-01 -4.631e-09 
 4.570e-04 -4.004e-01 -4.635e-09 
 4.580e-04 -3.913e-01 -4.638e-09 
 4.590e-04 -3.822e-01 -4.642e-09 
 4.600e-04 -3.730e-01 -4.645e-09 
 4.610e-04 -3.639e-01 -4.649e-09 
 4.620e-04 -3.547e-01 -4.652e-09 
 4.630e-04 -3.456e-01 -4.655e-09 
 4.640e-04 -3.364e-01 -4.658e-09 
 4.650e-04 -3.272e-01 -4.661e-09 
 4.660e-04 -3.180e-01 -4.664e-09 
 4.670e-04 -3.088e-01 -4.667e-09 
 4.680e-04 -2.996e-01 -4.669e-09 
 4.690e-04 -2.903e-01 -4.672e-09 
 4.700e-04 -2.811e-01 -4.674e-09 
 4.710e-04 -2.718e-01 -4.677e-09 
 4.720e-04 -2.625e-01 -4.679e-09 
 4.730e-04 -2.532e-01 -4.681e-09 
 4.740e-04 -2.440e-01 -4.683e-09 
 4.750e-04 -2.347e-01 -4.685e-09 
 4.760e-04 -2.253e-01 -4.687e-09 
 4.770e-04 -2.160e-01 -4.689e-09 
 4.780e-04 -2.067e-01 -4.691e-09 
 4.790e-04 -1.973e-01 -4.693e-09 
 4.800e-04 -1.880e-01 -4.694e-09 
 4.810e-04 -1.786e-01 -4.696e-09 
 4.820e-04 -1.693e-01 -4.697e-09 
 4.830e-04 -1.599e-01 -4.698e-09 
 4.840e-04 -1.505e-01 -4.699e-09 
 4.850e-04 -1.412e-01 -4.700e-09 
 4.860e-04 -1.318e-01 -4.701e-09 
 4.870e-04 -1.224e-01 -4.702e-09 
 4.880e-04 -1.130e-01 -4.703e-09 
 4.890e-04 -1.036e-01 -4.704e-09 
 4.900e-04 -9.419e-02 -4.704e-09 
 4.910e-04 -8.478e-02 -4.705e-09 
 4.920e-04 -7.537e-02 -4.705e-09 
 4.930e-04 -6.595e-02 -4.706e-09 
 4.940e-04 -5.654e-02 -4.706e-09 
 4.950e-04 -4.712e-02 -4.706e-09 
 4.960e-04 -3.769e-02 -4.706e-09 
 4.970e-04 -2.827e-02 -4.706e-09 
 4.980e-04 -1.885e-02 -4.706e-09 
 4.990e-04 -9.425e-03 -4.706e-09 
 5.000e-04  5.501e-09 -4.705e-09 
 5.010e-04  9.425e-03 -4.705e-09 
 5.020e-04  1.885e-02 -4.704e-09 
 5.030e-04  2.827e-02 -4.703e-09 
 5.040e-04  3.769e-02 -4.702e-09 
 5.050e-04  4.712e-02 -4.701e-09 
 5.060e-04  5.654e-02 -4.699e-09 
 5.070e-04  6.595e-02 -4.697e-09 
 5.080e-04  7.537e-02 -4.694e-09 
 5.090e-04  8.478e-02 -4.691e-09 
 5.100e-04  9.419e-02 -4.686e-09 
 5.110e-04  1.036e-01 -4.680e-09 
 5.120e-04  1.130e-01 -4.672e-09 
 5.130e-04  1.224e-01 -4.661e-09 
 5.140e-04  1.318e-01 -4.645e-09 
 5.150e-04  1.412e-01 -4.623e-09 
 5.160e-04  1.505e-01 -4.593e-09 
 5.170e-04  1.599e-01 -4.549e-09 
 5.180e-04  1.693e-01 -4.487e-09 
 5.190e-04  1.786e-01 -4.399e-09 
 5.200e-04  1.880e-01 -4.274e-09 
 5.210e-04  1.973e-01 -4.095e-09 
 5.220e-04  2.067e-01 -3.839e-09 
 5.230e-04  2.160e-01 -3.472e-09 
 5.240e-04  2.253e-01 -2.948e-09 
 5.250e-04  2.347e-01 -2.197e-09 
 5.260e-04  2.440e-01 -1.122e-09 
 5.270e-04  2.532e-01  4.171e-10 
 5.280e-04  2.625e-01  2.620e-09 
 5.290e-04  2.718e-01  5.772e-09 
 5.300e-04  2.811e-01  1.028e-08 
 5.310e-04  2.903e-01  1.673e-08 
 5.320e-04  2.996e-01  2.594e-08 
 5.330e-04  3.088e-01  3.911e-08 
 5.340e-04  3.180e-01  5.792e-08 
 5.350e-04  3.272e-01  8.477e-08 
 5.360e-04  3.364e-01  1.231e-07 
 5.370e-04  3.456e-01  1.777e-07 
 5.380e-04  3.547e-01  2.556e-07 
